arm,stt,category,n_gold,n_retrieved@12,recall@12,precision@12,f1@12,ndcg@12,n_retrieved@20,recall@20,precision@20,f1@20,ndcg@20,n_retrieved@30,recall@30,precision@30,f1@30,ndcg@30,n_retrieved@50,recall@50,precision@50,f1@50,ndcg@50,n_retrieved@70,recall@70,precision@70,f1@70,ndcg@70,n_retrieved@100,recall@100,precision@100,f1@100,ndcg@100,n_retrieved@all,recall@all,precision@all,f1@all,ndcg@all,r_precision,mrr,elapsed_s
dense_hyde,94,mixed,2,12,0.5,0.08333333333333333,0.14285714285714285,0.18457569677956817,20,0.5,0.05,0.09090909090909091,0.18457569677956817,30,0.5,0.03333333333333333,0.0625,0.18457569677956817,50,0.5,0.02,0.038461538461538464,0.18457569677956817,54,0.5,0.018518518518518517,0.03571428571428571,0.18457569677956817,54,0.5,0.018518518518518517,0.03571428571428571,0.18457569677956817,54,0.5,0.018518518518518517,0.03571428571428571,0.18457569677956817,0.0,0.1111111111111111,0.077
dense_hyde,97,in_corpus,2,12,0.5,0.08333333333333333,0.14285714285714285,0.21840743681816419,20,0.5,0.05,0.09090909090909091,0.21840743681816419,30,0.5,0.03333333333333333,0.0625,0.21840743681816419,50,1.0,0.04,0.07692307692307693,0.3314036175213153,55,1.0,0.03636363636363636,0.07017543859649122,0.3314036175213153,55,1.0,0.03636363636363636,0.07017543859649122,0.3314036175213153,55,1.0,0.03636363636363636,0.07017543859649122,0.3314036175213153,0.0,0.16666666666666666,0.065
full_rerank,1,ooc,2,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.595
full_rerank,102,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.43067655807339306,20,1.0,0.05,0.09523809523809523,0.43067655807339306,30,1.0,0.03333333333333333,0.06451612903225806,0.43067655807339306,42,1.0,0.023809523809523808,0.046511627906976744,0.43067655807339306,42,1.0,0.023809523809523808,0.046511627906976744,0.43067655807339306,42,1.0,0.023809523809523808,0.046511627906976744,0.43067655807339306,42,1.0,0.023809523809523808,0.046511627906976744,0.43067655807339306,0.0,0.25,1.747
full_rerank,104,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.6309297535714575,20,1.0,0.05,0.09523809523809523,0.6309297535714575,30,1.0,0.03333333333333333,0.06451612903225806,0.6309297535714575,50,1.0,0.02,0.0392156862745098,0.6309297535714575,51,1.0,0.0196078431372549,0.038461538461538464,0.6309297535714575,51,1.0,0.0196078431372549,0.038461538461538464,0.6309297535714575,51,1.0,0.0196078431372549,0.038461538461538464,0.6309297535714575,0.0,0.5,2.356
full_rerank,112,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,38,0.0,0.0,0.0,0.0,0.0,0.0,1.86
full_rerank,114,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,1.776
full_rerank,115,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.3562071871080222,20,1.0,0.05,0.09523809523809523,0.3562071871080222,30,1.0,0.03333333333333333,0.06451612903225806,0.3562071871080222,40,1.0,0.025,0.04878048780487806,0.3562071871080222,40,1.0,0.025,0.04878048780487806,0.3562071871080222,40,1.0,0.025,0.04878048780487806,0.3562071871080222,40,1.0,0.025,0.04878048780487806,0.3562071871080222,0.0,0.16666666666666666,1.913
full_rerank,117,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,1.0,20,1.0,0.05,0.09523809523809523,1.0,30,1.0,0.03333333333333333,0.06451612903225806,1.0,50,1.0,0.02,0.0392156862745098,1.0,51,1.0,0.0196078431372549,0.038461538461538464,1.0,51,1.0,0.0196078431372549,0.038461538461538464,1.0,51,1.0,0.0196078431372549,0.038461538461538464,1.0,1.0,1.0,1.998
full_rerank,120,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.2890648263178879,20,1.0,0.05,0.09523809523809523,0.2890648263178879,30,1.0,0.03333333333333333,0.06451612903225806,0.2890648263178879,42,1.0,0.023809523809523808,0.046511627906976744,0.2890648263178879,42,1.0,0.023809523809523808,0.046511627906976744,0.2890648263178879,42,1.0,0.023809523809523808,0.046511627906976744,0.2890648263178879,42,1.0,0.023809523809523808,0.046511627906976744,0.2890648263178879,0.0,0.1,2.114
full_rerank,122,unparseable,4,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,2.005
full_rerank,123,unparseable,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,2.404
full_rerank,124,unparseable,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,1.61
full_rerank,128,unparseable,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,46,0.0,0.0,0.0,0.0,0.0,0.0,2.142
full_rerank,132,in_corpus,5,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,0.0,0.0,2.039
full_rerank,140,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.31546487678572877,20,1.0,0.05,0.09523809523809523,0.31546487678572877,30,1.0,0.03333333333333333,0.06451612903225806,0.31546487678572877,38,1.0,0.02631578947368421,0.05128205128205127,0.31546487678572877,38,1.0,0.02631578947368421,0.05128205128205127,0.31546487678572877,38,1.0,0.02631578947368421,0.05128205128205127,0.31546487678572877,38,1.0,0.02631578947368421,0.05128205128205127,0.31546487678572877,0.0,0.125,1.958
full_rerank,141,unparseable,4,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,2.303
full_rerank,147,in_corpus,1,12,0.0,0.0,0.0,0.0,20,1.0,0.05,0.09523809523809523,0.24465054211822604,30,1.0,0.03333333333333333,0.06451612903225806,0.24465054211822604,50,1.0,0.02,0.0392156862745098,0.24465054211822604,51,1.0,0.0196078431372549,0.038461538461538464,0.24465054211822604,51,1.0,0.0196078431372549,0.038461538461538464,0.24465054211822604,51,1.0,0.0196078431372549,0.038461538461538464,0.24465054211822604,0.0,0.0625,2.783
full_rerank,151,in_corpus,1,12,0.0,0.0,0.0,0.0,20,1.0,0.05,0.09523809523809523,0.24465054211822604,30,1.0,0.03333333333333333,0.06451612903225806,0.24465054211822604,40,1.0,0.025,0.04878048780487806,0.24465054211822604,40,1.0,0.025,0.04878048780487806,0.24465054211822604,40,1.0,0.025,0.04878048780487806,0.24465054211822604,40,1.0,0.025,0.04878048780487806,0.24465054211822604,0.0,0.0625,1.409
full_rerank,154,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,1.0,20,1.0,0.05,0.09523809523809523,1.0,23,1.0,0.043478260869565216,0.08333333333333333,1.0,23,1.0,0.043478260869565216,0.08333333333333333,1.0,23,1.0,0.043478260869565216,0.08333333333333333,1.0,23,1.0,0.043478260869565216,0.08333333333333333,1.0,23,1.0,0.043478260869565216,0.08333333333333333,1.0,1.0,1.0,1.521
full_rerank,160,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,2.431
full_rerank,164,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.3010299956639812,20,1.0,0.05,0.09523809523809523,0.3010299956639812,30,1.0,0.03333333333333333,0.06451612903225806,0.3010299956639812,32,1.0,0.03125,0.06060606060606061,0.3010299956639812,32,1.0,0.03125,0.06060606060606061,0.3010299956639812,32,1.0,0.03125,0.06060606060606061,0.3010299956639812,32,1.0,0.03125,0.06060606060606061,0.3010299956639812,0.0,0.1111111111111111,2.668
full_rerank,166,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.3562071871080222,19,1.0,0.05263157894736842,0.1,0.3562071871080222,19,1.0,0.05263157894736842,0.1,0.3562071871080222,19,1.0,0.05263157894736842,0.1,0.3562071871080222,19,1.0,0.05263157894736842,0.1,0.3562071871080222,19,1.0,0.05263157894736842,0.1,0.3562071871080222,19,1.0,0.05263157894736842,0.1,0.3562071871080222,0.0,0.16666666666666666,1.928
full_rerank,169,in_corpus,7,12,0.14285714285714285,0.08333333333333333,0.10526315789473685,0.17342765698823945,20,0.14285714285714285,0.05,0.07407407407407408,0.17342765698823945,30,0.2857142857142857,0.06666666666666667,0.10810810810810811,0.23506697706784344,50,0.42857142857142855,0.06,0.10526315789473684,0.2900422436507016,52,0.42857142857142855,0.057692307692307696,0.10169491525423728,0.2900422436507016,52,0.42857142857142855,0.057692307692307696,0.10169491525423728,0.2900422436507016,52,0.42857142857142855,0.057692307692307696,0.10169491525423728,0.2900422436507016,0.14285714285714285,0.5,2.512
full_rerank,172,unparseable,4,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,1.671
full_rerank,178,in_corpus,1,12,0.0,0.0,0.0,0.0,20,1.0,0.05,0.09523809523809523,0.23981246656813146,30,1.0,0.03333333333333333,0.06451612903225806,0.23981246656813146,37,1.0,0.02702702702702703,0.052631578947368425,0.23981246656813146,37,1.0,0.02702702702702703,0.052631578947368425,0.23981246656813146,37,1.0,0.02702702702702703,0.052631578947368425,0.23981246656813146,37,1.0,0.02702702702702703,0.052631578947368425,0.23981246656813146,0.0,0.058823529411764705,1.935
full_rerank,180,in_corpus,6,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,41,0.3333333333333333,0.04878048780487805,0.0851063829787234,0.11700195282604,41,0.3333333333333333,0.04878048780487805,0.0851063829787234,0.11700195282604,41,0.3333333333333333,0.04878048780487805,0.0851063829787234,0.11700195282604,41,0.3333333333333333,0.04878048780487805,0.0851063829787234,0.11700195282604,0.0,0.03225806451612903,2.259
full_rerank,181,in_corpus,2,12,0.5,0.08333333333333333,0.14285714285714285,0.21840743681816419,20,0.5,0.05,0.09090909090909091,0.21840743681816419,30,0.5,0.03333333333333333,0.0625,0.21840743681816419,49,1.0,0.04081632653061224,0.07843137254901959,0.330054121827863,49,1.0,0.04081632653061224,0.07843137254901959,0.330054121827863,49,1.0,0.04081632653061224,0.07843137254901959,0.330054121827863,49,1.0,0.04081632653061224,0.07843137254901959,0.330054121827863,0.0,0.16666666666666666,1.881
full_rerank,188,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.6309297535714575,20,1.0,0.05,0.09523809523809523,0.6309297535714575,30,1.0,0.03333333333333333,0.06451612903225806,0.6309297535714575,41,1.0,0.024390243902439025,0.047619047619047616,0.6309297535714575,41,1.0,0.024390243902439025,0.047619047619047616,0.6309297535714575,41,1.0,0.024390243902439025,0.047619047619047616,0.6309297535714575,41,1.0,0.024390243902439025,0.047619047619047616,0.6309297535714575,0.0,0.5,2.105
full_rerank,190,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,2.433
full_rerank,198,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,0.3562071871080222,20,1.0,0.05,0.09523809523809523,0.3562071871080222,30,1.0,0.03333333333333333,0.06451612903225806,0.3562071871080222,44,1.0,0.022727272727272728,0.044444444444444446,0.3562071871080222,44,1.0,0.022727272727272728,0.044444444444444446,0.3562071871080222,44,1.0,0.022727272727272728,0.044444444444444446,0.3562071871080222,44,1.0,0.022727272727272728,0.044444444444444446,0.3562071871080222,0.0,0.16666666666666666,2.35
full_rerank,20,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,2.425
full_rerank,23,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,2.413
full_rerank,34,ooc,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,43,0.0,0.0,0.0,0.0,0.0,0.0,2.772
full_rerank,37,in_corpus,2,12,0.5,0.08333333333333333,0.14285714285714285,0.38685280723454163,20,0.5,0.05,0.09090909090909091,0.38685280723454163,30,1.0,0.06666666666666667,0.125,0.5143963738541297,47,1.0,0.0425531914893617,0.08163265306122448,0.5143963738541297,47,1.0,0.0425531914893617,0.08163265306122448,0.5143963738541297,47,1.0,0.0425531914893617,0.08163265306122448,0.5143963738541297,47,1.0,0.0425531914893617,0.08163265306122448,0.5143963738541297,0.5,0.5,2.447
full_rerank,45,in_corpus,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,48,0.3333333333333333,0.020833333333333332,0.0392156862745098,0.08402540320766004,48,0.3333333333333333,0.020833333333333332,0.0392156862745098,0.08402540320766004,48,0.3333333333333333,0.020833333333333332,0.0392156862745098,0.08402540320766004,48,0.3333333333333333,0.020833333333333332,0.0392156862745098,0.08402540320766004,0.0,0.02127659574468085,2.686
full_rerank,46,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,2.121
full_rerank,47,in_corpus,3,12,0.3333333333333333,0.08333333333333333,0.13333333333333333,0.16716045496620227,20,0.3333333333333333,0.05,0.08695652173913045,0.16716045496620227,30,0.3333333333333333,0.03333333333333333,0.0606060606060606,0.16716045496620227,40,0.3333333333333333,0.025,0.046511627906976744,0.16716045496620227,40,0.3333333333333333,0.025,0.046511627906976744,0.16716045496620227,40,0.3333333333333333,0.025,0.046511627906976744,0.16716045496620227,40,0.3333333333333333,0.025,0.046511627906976744,0.16716045496620227,0.0,0.16666666666666666,2.763
full_rerank,5,unparseable,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,4.637
full_rerank,56,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,3.317
full_rerank,57,unparseable,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,45,0.0,0.0,0.0,0.0,0.0,0.0,2.443
full_rerank,59,in_corpus,1,12,1.0,0.08333333333333333,0.15384615384615385,1.0,20,1.0,0.05,0.09523809523809523,1.0,30,1.0,0.03333333333333333,0.06451612903225806,1.0,34,1.0,0.029411764705882353,0.05714285714285715,1.0,34,1.0,0.029411764705882353,0.05714285714285715,1.0,34,1.0,0.029411764705882353,0.05714285714285715,1.0,34,1.0,0.029411764705882353,0.05714285714285715,1.0,1.0,1.0,2.502
full_rerank,62,in_corpus,2,12,0.5,0.08333333333333333,0.14285714285714285,0.38685280723454163,20,0.5,0.05,0.09090909090909091,0.38685280723454163,30,0.5,0.03333333333333333,0.0625,0.38685280723454163,49,0.5,0.02040816326530612,0.039215686274509796,0.38685280723454163,49,0.5,0.02040816326530612,0.039215686274509796,0.38685280723454163,49,0.5,0.02040816326530612,0.039215686274509796,0.38685280723454163,49,0.5,0.02040816326530612,0.039215686274509796,0.38685280723454163,0.5,0.5,2.433
full_rerank,66,in_corpus,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.5,0.03333333333333333,0.0625,0.13203406128629544,43,0.5,0.023255813953488372,0.04444444444444444,0.13203406128629544,43,0.5,0.023255813953488372,0.04444444444444444,0.13203406128629544,43,0.5,0.023255813953488372,0.04444444444444444,0.13203406128629544,43,0.5,0.023255813953488372,0.04444444444444444,0.13203406128629544,0.0,0.041666666666666664,2.087
full_rerank,71,in_corpus,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,2.141
full_rerank,83,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,1.422
full_rerank,84,in_corpus,1,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,36,0.0,0.0,0.0,0.0,0.0,0.0,1.479
full_rerank,85,unparseable,3,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,50,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,52,0.0,0.0,0.0,0.0,0.0,0.0,2.737
full_rerank,90,in_corpus,3,12,0.6666666666666666,0.16666666666666666,0.26666666666666666,0.4441228664487979,20,0.6666666666666666,0.1,0.1739130434782609,0.4441228664487979,30,0.6666666666666666,0.06666666666666667,0.1212121212121212,0.4441228664487979,34,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.4441228664487979,34,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.4441228664487979,34,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.4441228664487979,34,0.6666666666666666,0.058823529411764705,0.10810810810810811,0.4441228664487979,0.3333333333333333,0.5,1.886
full_rerank,93,in_corpus,2,12,1.0,0.16666666666666666,0.2857142857142857,0.8315546295836225,20,1.0,0.1,0.18181818181818182,0.8315546295836225,30,1.0,0.06666666666666667,0.125,0.8315546295836225,38,1.0,0.05263157894736842,0.1,0.8315546295836225,38,1.0,0.05263157894736842,0.1,0.8315546295836225,38,1.0,0.05263157894736842,0.1,0.8315546295836225,38,1.0,0.05263157894736842,0.1,0.8315546295836225,0.5,1.0,2.067
full_rerank,94,mixed,2,12,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,49,0.5,0.02040816326530612,0.039215686274509796,0.11100575998665047,49,0.5,0.02040816326530612,0.039215686274509796,0.11100575998665047,49,0.5,0.02040816326530612,0.039215686274509796,0.11100575998665047,49,0.5,0.02040816326530612,0.039215686274509796,0.11100575998665047,0.0,0.022222222222222223,2.401
